,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일 이상
내-개별여행,0.7,6.2,52,29.2,6.1,1.4,1.8,0.3,0.1,0.6,1.6
내-완전패키지여행,0,13.9,59,24.3,0.5,0,0,0,0,0.1,2.2
내-부분패키지여행,0,10,47.3,35,2.5,2.5,2.6,0,0,0,0
외-개별여행,0.5,4.4,24.9,29.9,21.5,8.0,3.2,2.5,0.6,2.0,2.5
외-완전패키지여행,1.3,3.1,32.9,27.6,31.3,1.3,0.1,0.1,0.1,0.1,2.1
외-부분패키지여행,0.0,3.3,25.9,31.4,30.3,4.5,1.0,0.6,0.0,0.0,3.1
