,여가.위락.휴식,신혼여행,사업.산업시찰활동,학술.세미나활동,직장인센티브여행,친구.친지방문,뷰티.의료관광,종교.순례,쇼핑,기타
내국 15~20세,88.8,1.0,0.0,1.0,2.2,0.0,0.0,1.7,0.0,5.3
내국 21~30세,91.7,0.5,0.7,1.3,2.2,0.2,0.2,2.3,0.0,1.0
내국 31~40세,88.8,0.8,0.5,4.4,2.5,0.0,0.2,2.3,0.0,0.5
내국 41~50세,88.0,0.0,0.4,6.4,2.2,0.0,0.5,1.6,0.1,0.7
내국 51~60세,90.1,0.0,0.2,5.6,1.4,0.3,0.6,1.0,0.1,0.7
내국 61세 이상,91.4,0.0,0.3,3.1,0.5,0.0,1.5,1.7,0.0,1.5
외국 15~20세,87.7,0.6,0.1,3.7,0.0,1.0,0.4,0.0,4.7,1.8
외국 21~30세,85.6,2.3,0.5,1.1,1.1,1.0,0.6,0.2,7.4,0.3
외국 31~40세,84.6,1.9,1.5,1.1,1.1,2.0,0.9,0.1,6.5,0.2
외국 41~50세,86.7,0.6,1.1,1.7,3.8,0.8,0.4,0.8,3.2,0.8
외국 51~60세,85.4,0.0,0.4,3.7,1.5,1.7,3.3,0.5,1.9,1.5
외국 61세 이상,82.6,0.0,0.8,6.2,0.0,5.1,0.0,0.0,0.2,5.1
