,신혼여행,사업.산업시찰활동,학술.세미나활동,직장인센티브여행,친구.친지방문,뷰티.의료관광,종교.순례,쇼핑,기타
외국인남,2.7,2.1,3.8,1.5,1.7,0.6,0.3,4.4,0.8
외국인녀,1.6,0.3,0.5,1.1,1.2,0.9,0.2,7.1,0.4
내국인남,0.6,0.7,7.7,2.9,0.1,0.4,1.7,0,1.3
내국인녀,0.2,0.2,1.7,1.3,0.1,0.5,1.9,0.1,0.6
