,신혼여행,사업.산업시찰활동,학술.세미나활동,직장인센티브여행,친구.친지방문,뷰티.의료관광,종교.순례,쇼핑,기타
한국,0.3,0.4,4.2,1.9,0.1,0.5,1.8,0,0.9
일본권,0,0.3,1.2,2,4.1,1.5,0.3,4,1.2
중국권,2.1,0.6,0.6,0.9,0.8,1,0.3,9.5,0.2
중화권,0,0,3.9,2.5,0.1,0.2,0,2.5,0.9
동남아권,3.3,2.1,1.1,2.3,0.1,0.5,0.2,2.8,0.5
북미권,3.7,0,2.3,0,0.9,0.3,1,0,4.5
기타,0.9,1.2,4.7,0.1,5.2,0.1,0,0.3,0.2
