,여가.위락.휴식,신혼여행,사업.산업시찰활동,학술.세미나활동,직장인센티브여행,친구.친지방문,뷰티.의료관광,종교.순례,쇼핑,기타
한국,89.8,0.3,0.4,4.2,1.9,0.1,0.5,1.8,0.0,0.9
일본권,85.4,0.0,0.3,1.2,2.0,4.1,1.5,0.3,4.0,1.2
중국권,84.1,2.1,0.6,0.6,0.9,0.8,1.0,0.3,9.5,0.2
중화권,90.0,0.0,0.0,3.9,2.5,0.1,0.2,0.0,2.5,0.9
동남아권,87.0,3.3,2.1,1.1,2.3,0.1,0.5,0.2,2.8,0.5
북미권,87.3,3.7,0.0,2.3,0.0,0.9,0.3,1.0,0.0,4.5
기타,87.2,0.9,1.2,4.7,0.1,5.2,0.1,0.0,0.3,0.2
