,1일,2일,3일,4일,5일,6일,7일,8일,9일,10일,11일 이상
한국,0.7,6.5,52.2,29,5.9,1.4,1.7,0.2,0.1,0.6,1.6
일본권,0.5,6.1,56.6,20.8,9.9,2.8,0.9,0.0,0.0,0.0,2.5
중국권,0.3,3.9,24.0,33.0,23.9,7.0,3.4,1.6,0.1,0.6,2.3
비중국중화권,0.4,0.1,13.0,37.6,36.3,3.2,1.9,5.9,0.2,0.8,0.8
동남아권,0.9,4.1,32.5,26.4,16.9,9.4,3.0,5.1,0.2,0.2,1.2
북미권,0.0,8.3,17.6,14.1,24.9,6.6,1.6,0.5,3.0,17.8,5.5
기타,1.8,6.9,12.1,20.9,26.0,11.3,1.6,0.7,3.9,8.8,6.0
