구분,상세,2018년1월,2018년2월,2018년3월,2018년4월,2018년5월,2018년6월,2018년7월,2018년8월,2018년9월,2018년10월,2018년11월,2018년12월,데이터기준일자
형태별,개별여행,931530,731347,833785,716499,815996,935068,922316,1038643,880738,868257,920287,799716,2018-12-31
형태별,부분패키지,83664,130051,152597,289775,198131,196771,157426,78686,152195,123683,74009,103493,2018-12-31
형태별,패키지,29762,31465,47396,218246,191777,46173,43148,29427,65658,136307,41735,73371,2018-12-31
목적별,레저스포츠,126413,103573,94279,180153,149737,161547,124283,136388,64870,136051,131927,181896,2018-12-31
목적별,회의및업무,78743,54538,97756,175460,52129,54838,61369,36720,69860,121210,41832,21955,2018-12-31
목적별,휴양및관람,757889,681718,758206,772325,823440,870959,867169,949466,858283,700049,769052,708768,2018-12-31
목적별,친지방문,75741,50344,54840,28582,41241,77419,64040,15737,67365,84105,80445,37634,2018-12-31
목적별,교육여행,234,0,18785,62892,73417,10689,3123,3199,25738,69517,12775,1237,2018-12-31
목적별,기타방문,2936,2690,9912,5109,65940,2560,2906,5246,12475,17315,0,25090,2018-12-31
