"특성별(1)",특성별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"특성별(1)",특성별(2),전체,전체,전체,전체,전체,전체,전체,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,자연,박물관,박물관,박물관,박물관,박물관,박물관,박물관,박물관,박물관,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,쇼핑,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,문화유적,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소,기타명소
"특성별(1)",특성별(2),응답자수 (명),자연관광지 (%),박물관 (%),쇼핑 (%),문화유적 (%),기타명소 (%),기타 (%),응답자수 (명),한라산 (%),오름 (%),성산일출봉 (%),섬(우도/마라도 등) (%),올레길 (%),폭포(정방폭포 등) (%),동굴(만장굴 등) (%),해수욕장 (%),비자림 (%),한라수목원 (%),서귀포자연휴양림 (%),절물자연휴양림 (%),용두암 (%),주상절리대 (%),한림공원 (%),응답자수 (명),국립제주박물관 (%),도립미술관 (%),민속자연사박물관 (%),제주돌문화공원 (%),제주세계자연유산센터 (%),이중섭미술관 (%),서복전시관 (%),제주4.3평화공원 (%),응답자수 (명),동문시장 (%),중앙로지하상가 (%),바오젠거리 (%),제주5일장(제주/서귀포) (%),서귀포매일올레시장 (%),신라면세점 (%),롯데면세점 (%),제주관광공사면세점 (%),공항면세점(JDC면세점) (%),응답자수 (명),제주목관아 (%),항몽유적지 (%),성읍민속마을 (%),삼양동선사유적 (%),제주추사관 (%),관덕정 (%),이중섭거주지 (%),하멜기념비 (%),응답자수 (명),미로공원(김녕/메이지 등) (%),에코랜드 (%),제주경마공원 (%),불교사찰 (%),아쿠아플라넷 (%),테디베어박물관 (%),소인국테마파크 (%),잠수함관광(서귀포 등) (%),신비의도로 (%),생각하는정원 (%),드라마촬영지 (%),제주별빛누리공원 (%),유람선(요트투어포함) (%),제주바다체험장 (%),골프장 (%),카지노 (%),기타 (%)
"거주지별",울산시,122,91.2,19.6,83.3,30.9,58.8,35.7,111,12.6,18.6,40.9,30.5,25.4,25.4,8.6,52.9,10.8,8.8,6.1,8.1,35.7,16.2,15.6,24,21.8,10.5,21.9,12.0,0.0,64.4,3.2,0.0,101,29.5,4.1,5.1,5.2,34.0,0.7,7.3,16.5,42.8,38,10.2,2.2,45.9,3.1,5.5,5.1,40.5,16.3,85,8.0,25.4,4.9,5.6,22.8,10.6,14.8,3.5,7.0,13.9,13.1,1.8,7.6,6.4,4.5,0.0,99.0
"거주지별",경기도,1361,93.5,17.5,75.0,19.3,49.7,25.2,1273,16.3,20.9,37.2,29.3,24.8,27.4,11.2,56.7,17.0,4.7,4.7,6.3,25.3,18.1,9.4,238,15.0,8.9,23.8,15.1,8.7,37.0,3.8,9.0,1021,49.3,3.6,5.6,8.7,30.8,2.1,4.3,15.2,41.8,263,6.3,6.6,32.9,3.0,2.9,10.5,45.1,14.4,858,16.4,24.9,4.4,5.0,18.8,7.3,6.8,5.1,12.9,3.9,13.0,1.9,5.8,2.7,5.2,0.4,79.1
"거주지별",강원도,156,92.0,21.7,76.2,21.6,57.6,27.0,143,10.3,14.9,46.1,35.7,16.8,31.3,14.7,48.5,15.1,8.6,7.5,9.8,28.5,30.2,8.6,34,25.2,11.4,30.6,24.4,15.5,35.7,5.0,2.4,119,40.9,4.0,2.5,13.4,37.5,4.4,8.9,22.9,40.7,34,9.0,5.8,59.1,2.4,5.8,7.4,34.0,9.7,109,15.3,33.3,2.7,10.9,22.1,9.4,11.8,5.4,11.9,5.1,10.1,3.3,12.0,5.4,3.1,0.0,77.8
"거주지별",충청도,278,92.5,22.4,77.9,24.4,56.2,26.6,257,14.2,18.2,43.0,26.2,25.5,27.4,11.4,55.9,8.2,7.7,9.0,5.0,19.2,17.3,9.7,62,22.7,11.9,30.9,13.2,11.6,28.0,0.0,2.9,217,44.1,4.2,6.4,12.4,27.9,2.5,4.0,16.0,41.9,68,4.6,6.1,48.3,2.8,7.9,12.3,28.0,15.1,194,13.9,26.1,3.8,5.1,23.1,5.1,9.1,13.5,16.3,2.5,11.0,5.9,5.0,3.9,4.7,0.0,75.7
"거주지별",전라도,415,92.0,23.4,76.9,25.1,52.9,21.6,382,19.5,22.7,41.1,31.1,23.0,29.6,16.8,50.5,13.6,8.3,6.2,8.0,27.4,21.5,16.8,97,21.6,14.3,25.8,29.4,6.9,36.3,1.0,14.3,319,49.0,7.5,3.9,12.1,28.0,2.2,3.5,16.1,45.8,104,9.4,11.0,32.6,0.9,6.6,13.0,49.3,18.4,272,14.8,33.6,6.6,7.2,22.2,13.5,11.5,5.1,10.9,6.5,13.7,2.7,7.2,2.3,5.9,0.0,66.7
"거주지별",경상도,492,93.3,24.1,76.2,28.1,52.2,27.1,459,14.5,23.8,38.9,30.4,21.4,26.6,14.4,54.0,12.7,9.0,6.5,8.0,25.3,21.5,14.6,118,12.3,11.1,23.0,17.9,8.1,35.0,1.7,16.0,375,51.0,2.7,4.9,9.5,27.0,1.9,3.2,20.6,43.9,138,11.8,4.7,28.7,3.5,7.5,9.1,32.4,20.9,328,16.6,25.9,5.7,4.7,18.7,9.1,13.3,7.2,13.4,3.6,11.9,1.9,7.5,1.3,4.3,0.3,88.3
"거주지별",기타(국외),8,100.0,12.1,89.6,47.4,35.8,28.9,8,35.8,45.1,72.8,34.6,41.3,57.5,37.0,22.2,24.2,43.6,22.5,12.1,12.1,25.4,57.5,1,0.0,0.0,100.0,0.0,0.0,0.0,0.0,100.0,7,80.9,11.7,48.7,13.5,0.0,27.8,0.0,11.7,7.4,4,0.0,25.5,100.0,0.0,22.0,25.5,0.0,22.0,5,10.3,10.3,18.7,18.7,16.1,0.0,18.7,0.0,18.7,0.0,18.7,16.1,16.1,45.1,18.7,18.7,91.4
"성별",남자,2731,92.2,21.5,73.9,24.5,51.0,16.4,2519,19.0,21.5,41.4,27.7,28.5,29.3,13.3,51.7,14.0,8.4,7.8,7.6,27.9,19.9,11.9,588,17.6,7.5,26.6,14.8,10.0,34.2,3.7,10.9,2018,45.0,5.4,5.8,11.7,28.3,2.1,4.4,14.2,41.7,668,9.5,7.4,35.8,2.6,4.8,10.7,39.1,17.1,1637,15.8,26.0,6.6,5.7,20.9,7.6,9.4,6.9,16.5,5.4,13.5,2.8,7.0,3.6,9.4,0.8,49.6
"성별",여자,3259,93.3,19.9,78.7,22.4,49.8,32.1,3039,14.4,21.3,37.5,30.3,23.8,25.0,11.4,57.0,15.4,6.4,5.2,7.6,23.8,18.4,10.8,649,15.8,12.5,20.5,18.8,6.2,45.2,1.8,10.7,2563,48.4,4.1,4.9,10.7,30.2,2.4,4.4,17.5,45.2,730,7.3,4.3,33.8,2.7,4.8,11.4,47.6,14.7,2189,14.1,26.5,4.7,5.1,18.7,9.3,9.4,5.5,12.0,5.2,12.1,2.9,6.2,2.1,3.4,0.4,97.3
"연령별",15~20세,311,90.3,19.7,68.8,16.3,53.7,34.9,281,12.7,13.8,38.7,25.5,22.6,22.6,14.6,59.5,9.0,9.7,5.8,3.2,27.6,17.3,11.1,61,17.3,10.6,25.1,17.8,4.4,44.4,0.0,18.8,214,43.7,8.5,8.0,11.4,31.7,4.3,5.0,13.5,43.2,51,7.5,10.2,20.9,1.8,0.0,14.6,42.6,22.1,217,22.1,25.5,5.2,0.4,18.4,12.6,21.0,2.2,13.0,7.3,10.6,2.1,3.9,1.6,2.3,0.9,105.0
