"항구명(1)","국적구분(1)","구분1(1)",2017. 01,2017. 02,2017. 03,2017. 04,2017. 05,2017. 06,2017. 07,2017. 08,2017. 09,2017. 10,2017. 11,2017. 12
"항구명(1)","국적구분(1)","구분1(1)",컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계,컨테이너 소계
"항구명(1)","국적구분(1)","구분1(1)",계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU),계 (TEU)
"부산","국적선","내항",30377,26161,264,0,0,0,0,0,0,0,0,0
"인천","국적선","내항",12144,14156,1430,1395,1388,1329,1318,1265,1230,851,1097,1221
"제주","국적선","내항",10082,8134,8357,9349,7444,7053,7249,9054,9142,7930,10081,10430
"서귀포","국적선","내항",10033,6134,5786,4399,3689,3904,3802,4853,5136,6299,9967,11836
