"특성별(1)",특성별(2),2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018
"특성별(1)",특성별(2),응답자수 (명),전체,전체,전체,전체,전체,전체,전체,숙박비,숙박비,숙박비,숙박비,숙박비,숙박비,숙박비,숙박비,쇼핑비,쇼핑비,쇼핑비,쇼핑비,쇼핑비,쇼핑비,쇼핑비,식음료비,식음료비,식음료비,식음료비,식음료비,식음료비,식음료비,대중교통비,대중교통비,대중교통비,대중교통비,대중교통비,대중교통비,대중교통비,차량임대비(렌터카) ,차량임대비(렌터카) ,차량임대비(렌터카) ,차량임대비(렌터카) ,차량임대비(렌터카) ,차량임대비(렌터카) ,차량임대비(렌터카) ,관광/문화관련,관광/문화관련,관광/문화관련,관광/문화관련,관광/문화관련,관광/문화관련,관광/문화관련,오락/운동관련,오락/운동관련,오락/운동관련,오락/운동관련,오락/운동관련,오락/운동관련,오락/운동관련,항공료/선박료,항공료/선박료,항공료/선박료,항공료/선박료,항공료/선박료,항공료/선박료,기타,기타,기타,기타,기타,기타,기타
"특성별(1)",특성별(2),소계,10만원 미만 (%),10만원 이상~30만원 미만 (%),30만원 이상~50만원 미만 (%),50만원 이상~100만원 미만 (%),100만원 이상~150만원 미만 (%),150만원 이상 (%),평균 (원),5만원 미만 (%),5만원 이상~7만원 미만 (%),7만원 이상~10만원 미만 (%),10만원 이상~20만원 미만 (%),20만원 이상~30만원 미만 (%),30만원 이상 (%),경험없음 (%),평균 (원),5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상~30만원 미만 (%),30만원 이상~50만원 미만 (%),50만원 이상 (%),경험없음 (%),평균 (원),3만원 미만 (%),3만원 이상~5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상~20만원 미만 (%),20만원 이상 (%),경험없음 (%),평균 (원),2만원 미만 (%),2만원 이상~5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상~20만원 미만 (%),20만원 이상 (%),경험없음 (%),평균 (원),2만원 미만 (%),2만원 이상~5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상~20만원 미만 (%),20만원 이상 (%),경험없음 (%),평균 (원),2만원 미만 (%),2만원 이상~5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상~20만원 미만 (%),20만원 이상 (%),경험없음 (%),평균 (원),2만원 미만 (%),2만원 이상~5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상~20만원 미만 (%),20만원 이상 (%),경험없음 (%),평균 (원),3만원 미만 (%),3만원 이상~5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상~15만원 미만 (%),15만원 이상 (%),평균 (원),1만원 미만 (%),1만원 이상~3만원 미만 (%),3만원 이상~5만원 미만 (%),5만원 이상~10만원 미만 (%),10만원 이상 (%),경험없음 (%),평균 (원)
"거주지별",울산시,176,0.0,11.0,44.7,40.4,2.3,1.6,502261,9.9,31.7,23.4,25.8,6.3,1.4,1.4,96107,26.7,25.4,23.6,1.5,0.6,22.2,63197,1.3,0.6,24.6,52.1,21.3,0.0,141320,2.7,2.6,1.4,0.0,0.0,93.3,1813,5.7,57.2,22.1,5.5,1.4,8.1,43671,23.3,38.9,14.1,0.1,0.1,23.5,22014,5.0,6.4,2.2,0.1,1.9,84.4,8970,1.4,3.0,17.8,51.8,26.0,119293,0.0,1.0,0.7,2.3,2.1,93.9,5876
"거주지별",세종시,32,0.0,9.6,51.4,36.8,1.4,0.7,537104,7.4,15.3,22.2,40.7,9.9,0.5,3.9,99274,23.0,37.1,19.7,0.6,0.0,19.7,64295,0.0,0.0,11.7,63.4,21.5,3.4,146708,0.0,3.7,0.0,0.0,0.0,96.3,1123,0.0,51.2,30.0,11.1,0.0,7.7,43821,14.4,26.6,15.5,0.7,0.0,42.8,19063,3.7,4.2,3.7,8.3,3.9,76.2,22572,0.0,0.0,14.1,49.2,36.7,136586,0.0,3.9,3.9,0.6,0.6,91.1,3663
"거주지별",경기도,1226,0.0,4.0,52.0,37.9,5.0,1.1,478085,16.9,26.4,20.1,25.7,3.8,1.8,5.3,86802,27.7,29.8,20.4,0.8,0.5,20.7,58652,1.9,2.0,23.5,56.6,14.7,1.3,129364,3.6,3.7,2.1,0.8,0.1,89.7,3632,4.6,49.4,26.9,4.3,1.4,13.5,43671,27.7,30.8,11.7,2.3,0.5,26.9,22116,3.8,4.9,2.1,0.7,0.8,87.7,6063,2.3,1.0,22.6,45.1,29.0,123475,0.6,1.9,0.8,0.8,1.1,94.7,4310
"거주지별",강원도,95,0.1,13.8,51.5,32.5,1.3,0.9,530195,11.6,23.0,18.4,37.0,2.0,5.1,2.8,108258,21.9,30.7,25.2,0.0,1.3,20.8,67181,7.5,2.5,18.0,49.8,22.3,0.0,144839,5.0,5.0,1.4,1.2,1.3,86.1,8688,7.6,35.2,26.6,12.8,1.7,16.2,46752,24.5,31.4,14.7,2.6,0.0,26.9,22487,2.5,5.1,4.9,0.0,0.0,87.5,4087,6.3,1.4,15.6,40.2,36.4,121226,0.0,0.2,0.0,3.9,3.8,92.1,6676
"거주지별",충청도,239,1.3,6.9,49.6,39.2,1.6,1.3,503224,16.6,28.3,12.9,27.3,3.9,4.7,6.3,95447,26.3,25.0,25.9,0.5,0.6,21.7,62659,3.6,2.3,22.2,52.8,18.4,0.7,135143,4.3,2.7,3.9,0.5,0.6,88.0,6017,6.1,48.0,20.5,6.8,0.7,18.0,38582,23.3,32.9,14.7,4.2,0.0,24.9,24755,6.1,5.3,1.1,2.7,0.5,84.2,8139,0.6,0.7,21.7,42.3,34.7,129382,1.1,1.5,0.8,1.3,1.7,93.6,3100
"거주지별",전라도,361,0.5,15.4,44.1,36.4,2.9,0.7,531727,19.7,21.6,21.5,25.4,5.6,3.8,2.4,107631,24.3,28.8,25.5,1.3,1.3,18.7,73018,2.2,0.9,18.9,60.1,16.3,1.5,145290,4.8,3.7,2.6,0.8,0.3,87.6,4548,5.9,44.5,24.9,4.5,1.6,18.5,42413,25.5,37.8,12.3,2.9,0.5,21.0,25803,4.8,4.4,4.1,1.2,1.1,84.4,11331,1.2,2.7,28.9,42.9,24.3,117222,0.6,3.0,0.7,1.4,1.5,92.9,4470
"거주지별",경상도,385,0.0,13.4,46.2,36.8,1.2,2.4,503626,17.1,26.7,21.4,22.6,4.1,2.7,5.3,89888,23.3,28.3,26.3,0.6,0.6,20.9,63944,3.9,2.4,26.7,49.5,16.8,0.6,131575,6.7,3.4,1.7,1.0,0.3,86.9,3921,5.9,46.8,22.4,7.6,0.9,16.4,40183,23.1,31.2,14.3,3.7,1.7,25.9,27583,4.0,3.6,3.7,1.7,2.2,84.8,12675,1.9,1.4,22.2,42.2,32.2,126248,0.7,2.4,0.3,2.5,2.5,91.5,7608
"거주지별",기타 지역,11,1.0,12.4,48.4,33.8,2.9,1.5,991040,0.0,10.1,0.0,56.9,0.0,11.4,21.6,186826,0.0,33.6,21.5,11.4,10.1,23.3,189196,0.0,11.4,11.9,43.7,33.0,0.0,201889,0.0,0.0,11.4,11.4,0.0,77.2,17130,11.4,21.2,23.0,22.8,0.0,21.6,50345,23.3,21.2,0.0,0.0,11.4,44.1,38660,0.0,0.0,0.0,0.0,11.1,88.9,27723,11.1,11.4,0.0,43.1,34.4,104160,0.0,0.0,11.4,0.0,11.4,77.2,175111
"성별",남자,2456,0.0,0.0,44.0,34.4,10.1,11.4,536061,12.9,23.6,18.8,28.9,5.6,3.7,6.4,98969,22.7,26.9,22.0,1.3,0.6,26.4,61343,2.7,1.4,19.6,53.7,21.1,1.4,146049,4.2,4.2,2.4,1.4,0.3,87.6,4959,5.1,42.8,26.6,6.4,1.7,17.3,43553,24.3,29.3,12.5,3.1,0.5,30.3,23468,4.2,4.9,3.3,2.8,3.8,81.0,19086,2.1,1.6,18.9,43.1,34.3,131151,0.5,1.9,0.9,1.4,2.4,92.9,7484
"성별",여자,3428,0.2,12.6,43.6,38.8,3.2,1.7,489203,17.0,24.9,20.6,25.6,4.9,2.8,4.1,93028,27.5,31.1,20.9,1.0,0.7,18.8,62920,2.1,1.6,22.8,57.5,15.0,1.0,133222,4.1,3.1,2.7,0.7,0.1,89.2,3864,4.3,51.6,26.1,4.3,0.8,12.9,41347,28.7,34.0,11.4,2.4,0.6,22.9,23852,3.1,4.2,2.7,1.0,0.8,88.2,6434,2.0,1.1,23.4,45.6,28.0,121322,0.3,1.4,0.5,1.0,1.0,95.7,3212
"연령별",15~20세,103,0.2,12.5,52.2,32.2,1.9,1.0,425000,22.5,17.7,15.8,32.5,3.4,3.6,4.5,92004,39.6,26.0,8.4,1.3,1.2,23.5,50962,6.0,10.6,27.0,42.1,13.2,1.1,111760,13.9,21.4,8.2,2.3,0.0,54.2,14859,6.2,25.4,15.5,8.4,1.2,43.2,32356,28.7,15.7,13.6,3.4,1.2,37.4,21698,3.4,1.3,3.3,0.0,0.0,92.1,3055,7.1,4.4,46.2,29.0,13.2,97068,1.2,1.1,0.0,0.0,1.1,96.6,1239
"연령별",21~30세,1388,2.4,29.4,46.0,17.4,2.4,2.4,458519,16.0,26.0,21.5,26.0,3.9,1.8,4.7,86622,30.4,24.5,14.0,0.9,0.5,29.6,47240,3.2,2.0,19.4,59.5,14.6,1.4,129915,6.6,6.2,4.3,1.3,0.3,81.3,6747,4.2,40.7,28.6,5.7,1.1,19.7,41397,31.9,27.3,8.0,2.1,0.3,30.4,18297,4.5,3.4,3.2,1.0,0.1,87.9,4788,1.7,1.6,26.6,44.0,26.0,118137,0.4,2.4,0.4,1.4,1.3,94.2,5377
