,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-남자,2.1,3.3,21.3,43.0,30.3
내-여자,1.9,2.1,18.8,43.2,34.0
외-남자,3.1,2.1,11.9,47.7,35.3
외-여자,2.8,1.5,13.5,47.2,35.0
