날짜,제주도민,내국인관광객,중국인관광객
2016-09,8192,18773,483
2016-10,7791,20555,451
2016-11,8824,18157,262
2016-12,7944,18760,259
2017-01,8164,19632,405
2017-02,7707,19822,381
2017-03,8366,22257,123
2017-04,8212,24748,53
2017-05,8615,24832,55
2017-06,8277,25718,71
2017-07,7666,25962,83
2017-08,7785,28881,86
2017-09,8965,28168,76
2017-10,8150,23182,85
2017-11,8782,22277,32
