,여행정보를 얻기 어렵다,관광정보가 정확하지 않다,관광종사원이 불친절하다,안내표지판이 부정확하다,식당과 음식이 불결하다,음식이 입에 맞지 않는다,물가가 비싸다,대중교통 이용이 불편하다,택시기사 서비스가 불편하다,관광가이드의 서비스가 좋지 않다,쇼핑품목이 다양하지 못하다,상품구입을 강요한다,기타,불만족하거나 불편했던 점이 없다,언어소통이 불편하다
내국-남,2.6,2.1,2.8,2.3,1.7,1.7,25.1,5.4,1.5,0.4,3.3,0.5,7.1,62.1,0.0
내국-녀,1.7,2.4,3.3,1.4,1.5,1.2,21.2,5.2,1.5,0.2,2.5,0.6,7.1,64.7,0.0
외국-남,17.1,5.5,6.6,6.8,3.3,10.1,17.4,15.1,6.1,1.7,9.4,2.2,2.2,34.4,24.8
외국-여,11.3,3.4,5.9,4.3,1.7,8.9,18.5,13.3,3.6,1.5,10.3,3.0,1.8,39.9,23.1
