,여행정보를 얻기 어렵다,관광정보가 정확하지 않다,관광종사원이 불친절하다,안내표지판이 부정확하다,식당과 음식이 불결하다,음식이 입에 맞지 않는다,물가가 비싸다,대중교통 이용이 불편하다,택시기사 서비스가 불편하다,관광가이드의 서비스가 좋지 않다,쇼핑품목이 다양하지 못하다,상품구입을 강요한다,기타,불만족하거나 불편했던 점이 없다,언어소통이 불편하다
내-개별여행,2.1,2.3,3.2,1.8,1.6,1.4,23.0,5.4,1.5,0.3,2.8,0.6,7.1,63.4,0.0
내-완전패키지여행,1.0,0.5,2.0,1.0,2.0,1.0,18.9,2.0,0.5,0.1,1.5,0.5,5.6,70.3,0.0
내-부분패키지여행,2.5,2.3,0.0,2.3,4.8,2.3,32.6,7.7,0.0,0.0,7.4,0.0,12.6,49.7,0.0
외-개별여행,13.2,4.0,6.2,5.2,1.7,9.0,18.8,14.7,4.6,1.3,10.0,2.5,1.8,38.6,23.0
외-완전패키지여행,9.2,3.8,5.5,3.9,5.8,12.3,13.6,7.9,1.8,3.2,10.3,4.7,1.4,37.0,25.8
외-부분패키지여행,16.7,5.7,2.9,2.0,2.6,2.4,15.4,8.1,3.6,2.2,12.2,4.6,5.6,38.6,33.7
