날짜,제주도민,내국인관광객,중국인관광객
2016-09,34657,13542,9210
2016-10,34196,12447,9065
2016-11,32877,11023,6222
2016-12,34732,12231,7001
2017-01,35133,13117,7432
2017-02,31838,11698,6419
2017-03,32993,11738,3412
2017-04,32868,12667,1679
2017-05,35125,13903,1833
2017-06,33061,14040,1782
2017-07,36762,18068,2314
2017-08,34466,18221,2640
2017-09,32628,14108,2304
2017-10,34090,14231,2556
2017-11,32624,12070,1946
