날짜,교통,문화/레져,소매,쇼핑,숙박,식음료,유흥
Sep-16,1475299,525818,1722937,3928304,492879,3291416,621155
Oct-16,1536644,618873,1783876,3806586,540182,3524503,626639
Nov-16,1614905,557998,1807623,3540653,453523,3241780,597363
Dec-16,1932843,489438,1738745,3582084,507369,3463138,673154
Jan-17,1881167,434193,1736577,3803865,462474,3374951,607749
Feb-17,1761544,400368,1444631,3151598,416766,3246053,537051
Mar-17,1854055,562365,1742238,3588646,428376,3513537,610906
Apr-17,1757964,609751,1913971,3901225,538385,3768866,607160
May-17,1777732,702345,2045258,4193152,611221,4073733,617766
Jun-17,1750305,597345,1762939,4072937,552549,3907591,596912
Jul-17,1925536,588228,1732538,4393673,663393,4269413,608146
Aug-17,1949707,643504,1568133,4515665,762857,4503362,603817
Sep-17,1731636,564443,1902925,4205483,579441,3922635,618717
Oct-17,1663238,679974,1903376,4072620,584707,3901680,617053
Nov-17,1785324,590472,1931766,3646083,483733,3547678,587713
Dec-17,2031746,500865,1744980,3692669,534438,3744145,660480
