업종,2015,2016,2017
여행업,169701,422830,317144
관광숙박업,787086,881639,849927
관광객이용시설업,242150,238041,163112
국제회의업,3173,1440,19665
카지노업,209579,176030,178803
유원시설업,222352,221451,232799
관광편의시설업,56295,93025,186925
