상호명,소재지,위도,경도
아인스호스텔,제주특별자치도 서귀포시 태평로 432(서귀동 162-7),33.24543 ,126.56650 
미도호스텔,제주특별자치도 서귀포시 동문동로 13-1(서귀동 258-2),33.25002 ,126.56646 
탐라호스텔,제주특별자치도 서귀포시 성산읍 서성일로 726-31(수산리 2579-9),33.42834 ,126.86253 
제주 나르샤펜션,제주특별자치도 서귀포시 안덕면 사계북로 52(사계리 2763-4),33.23400 ,126.29446 
중문씨티호텔,제주특별자치도 서귀포시 중문상로 27(중문동 2050-5),33.25983 ,126.43170 
써니호텔,제주특별자치도 서귀포시 대정읍 신영로 87-1(하모리 934),33.22070 ,126.25243 
퍼블리코,제주특별자치도 서귀포시 신서로48번길 20-9(강정동 165-7),33.25317 ,126.50698 
모던플레이스,제주특별자치도 서귀포시 상예로 262(상예동 185-1),33.26796 ,126.39484 
호텔펠리시아,제주특별자치도 서귀포시 일주동로 9123(법환동 17),33.24734 ,126.51786 
중문썬라이즈 호스텔,제주특별자치도 서귀포시 중문관광로 310(중문동 2453),33.24750 ,126.43059 
J두빛나래리조트,제주특별자치도 서귀포시 안덕면 사계북로 109(사계리 1586-1),33.23687 ,126.29932 
제이라움호스텔,제주특별자치도 서귀포시 대정읍 노을해안로 420(무릉리 3876),33.25666 ,126.19046 
브릭 216,제주특별자치도 서귀포시 이어도로 216(대포동 2229-1),33.24075 ,126.44340 
호텔라벤더 제주,제주특별자치도 서귀포시 중정로 1(서귀동 323-19),33.24769 ,126.55669 
호텔연,제주특별자치도 서귀포시 솔동산로22번길 17-2(서귀동 587-43),33.24391 ,126.56221 
스와브호텔,제주특별자치도 서귀포시 서홍로 102(서홍동 1289),33.25702 ,126.55314 
휴안스테이호텔,제주특별자치도 서귀포시 성산읍 성산중앙로37번길 9(성산리 180-5),33.46368 ,126.93239 
동원호스텔,제주특별자치도 서귀포시 솔동산로10번길 45(서귀동 685),33.24083 ,126.56268 
K두빛나래리조트,제주특별자치도 서귀포시 안덕면 사계북로 107(사계리 1586-4) ,33.23656 ,126.29932 
스파호텔코자,제주특별자치도 서귀포시 대정읍 최남단해안로 44(하모리 2133-5),33.21665 ,126.25221 
더블루제주,제주특별자치도 서귀포시 칠십리로 479(보목동 750-1),33.24586 ,126.59131 
레지나펜션,제주특별자치도 서귀포시 이어도로 789(강정동 925-2),33.23684 ,126.49956 
해리안호텔,제주특별자치도 서귀포시 천제연로 153(중문동 2167-16),33.25295 ,126.42165 
풍경호스텔,제주특별자치도 서귀포시 남성로 117(서홍동 754-3),33.24283 ,126.54961 
천지연크리스탈호텔,제주특별자치도 서귀포시 천지연로 39(서귀동 650-1),33.24236 ,126.56213 
T아일랜드호스텔,제주특별자치도 서귀포시 막숙포로 100(법환동 1452),33.23357 ,126.51171 
칠십리호텔,제주특별자치도 서귀포시 태평로353번길 22-3(서귀동 432-3),33.24722 ,126.56135 
중문스테이,제주특별자치도 서귀포시 중문관광로 288(대포동 1695),33.24880 ,126.41988 
까사 데 비발디,제주특별자치도 서귀포시 안덕면 향교로 214(사계리 3318-1),33.23711 ,126.28970 
제주브릭스,제주특별자치도 서귀포시 태평로 121(호근동 479-4),33.24453 ,126.53589 
돈내코 리조트,제주특별자치도 서귀포시 돈내코로 178(상효동 2205-3),33.30539 ,126.57746 
호텔 버지니아,제주특별자치도 서귀포시 중정로61번길 31(서귀동),33.25063 ,126.56247 
피노호텔,제주특별자치도 서귀포시 천지연로29번길 5(서귀동 697-1),33.24103 ,126.56320 
서현호스텔,제주특별자치도 서귀포시 천지로 15(서귀동 310-10),33.24898 ,126.56081 
아띠랑스,제주특별자치도 서귀포시 성산읍 해맞이해안로 2614(시흥리 10),33.47756 ,126.90939 
마루호스텔,제주특별자치도 서귀포시 안덕면 평화로 486(덕수리 1513-1),33.27904 ,126.31788 
이아호텔,제주특별자치도 서귀포시 중정로36(서귀동 313-3),33.24732 ,126.56030 
한옥호텔 한라궁,제주특별자치도 서귀포시 칠십리로 243(토평동 581-11 외 1필지),33.24834 ,126.57880 
런호텔,제주특별자치도 서귀포시 태평로431번길 20(서귀동 411-1) ,33.24718 ,126.56611 
HOTEL 이디,제주특별자치도 서귀포시 남원읍 태위로690-3(남원읍 남원리 98-10) ,33.27923 ,126.72051 
태흥리조트,제주특별자치도 서귀포시 남원읍 태위로984-7(남원읍 태흥리 373) ,33.28790 ,126.75002 
올레휴,제주특별자치도 서귀포시 천지로 13(서귀동),33.24880 ,126.56083 
부띠끄스테이 스놉,제주특별자치도 서귀포시 예래해안로 17(하예동 1795-1),33.23331 ,126.36965 
취다선리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2688,33.47188 ,126.91301 
호텔 서귀피안,제주특별자치도 서귀포시 보목로64번길 178,33.24108 ,126.59388 
