"특성별(1)",특성별(2),2015,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017
"특성별(1)",특성별(2),응답자수 (명),관광호텔 (%),호텔 (%),모텔/호스텔 (%),게스트하우스 (%),펜션 (%),콘도/리조트 (%),친척/친구집 (%),기타 (%),응답자수 (명),호텔 (%),모텔/호스텔 (%),게스트하우스 (%),펜션 (%),콘도/리조트 (%),친척/친구집 (%),숙박하지 않음,기타 (%),응답자수 (명),호텔 (%),모텔/호스텔 (%),게스트하우스 (%),펜션 (%),콘도/리조트 (%),친척/친구집 (%),숙박하지 않음,기타 (%)
"연령별",61세 이상,78,11.5,15.4,2.6,10.3,25.6,12.8,17.9,3.8,185,23.6,13.1,7.0,24.1,27.5,15.5,0.9,6.0,158,40.3,8.6,7.0,16.8,21.0,17.4,0.0,6.4
"방문목적별",휴가 및 순수여행,3057,6.9,18.3,5.3,25.0,20.6,15.3,5.0,3.6,4811,37.0,6.5,22.1,27.5,23.5,5.6,0.4,3.4,4807,48.6,8.9,19.8,24.0,19.1,7.9,0.2,2.2
"방문목적별",비즈니스여행,432,18.8,27.5,18.3,5.1,9.7,10.4,4.2,6.0,627,45.9,20.6,10.6,13.3,13.2,8.1,1.5,4.4,521,52.2,15.5,8.6,13.8,14.7,8.7,1.6,2.7
"방문목적별",기타여행,447,3.8,13.4,8.1,7.6,6.5,12.8,35.1,12.8,551,14.4,7.1,6.8,12.3,9.4,53.7,1.2,7.7,504,26.8,5.8,8.6,12.0,9.3,52.2,0.8,4.2
"여행형태별",개별여행,3556,7.4,17.8,6.5,22.8,18.4,13.4,9.1,4.7,5557,35.6,8.0,20.8,24.7,20.3,11.0,0.6,3.8,5396,46.3,9.4,18.9,22.3,17.5,12.3,0.4,2.5
"여행형태별",완전패키지여행,80,10.0,30.0,15.0,5.0,20.0,12.5,2.5,5.0,299,38.3,8.9,2.2,23.5,31.3,0.7,0.2,3.6,314,61.0,5.3,2.8,15.2,23.9,0.3,0.0,0.4
"여행형태별",부분패키지여행,300,13.0,26.3,11.0,2.3,11.0,28.7,1.0,6.7,134,41.7,6.2,2.7,24.1,31.7,1.4,0.0,5.8,122,51.2,10.1,5.8,23.9,27.0,6.2,0.0,1.0
"방문횟수별",1회,1450,6.3,18.8,7.0,26.2,20.3,13.5,4.1,3.9,1955,35.0,8.5,23.6,25.5,21.1,5.0,0.6,3.5,1759,47.7,9.0,21.2,22.9,18.6,5.3,0.2,1.8
"방문횟수별",2회,1063,7.7,19.8,5.7,20.0,18.6,16.7,7.0,4.4,1559,34.5,7.1,19.7,28.7,24.7,6.2,0.4,3.7,1557,48.5,9.2,17.6,24.3,19.2,7.5,0.5,2.2
"방문횟수별",3회,575,8.3,15.8,6.3,20.3,17.7,17.0,10.6,3.8,953,41.6,7.7,17.9,22.0,22.6,11.4,0.4,2.2,910,47.9,7.5,18.6,23.0,19.9,11.7,0.3,1.8
"방문횟수별",4회 이상,848,10.3,19.2,9.3,13.0,12.7,11.8,15.8,7.9,1523,34.7,8.5,14.9,20.8,16.6,20.3,0.8,5.4,1606,44.9,10.4,13.7,18.1,15.3,22.3,0.5,3.5
