구분,상호명,소재지,위도,경도
가족호텔업,중문통나무가족호텔,제주특별자치도 서귀포시 중산간서로594번길 7-28(대포동 249),33.26282 ,126.45174 
가족호텔업,와이리조트 제주, 제주특별자치도 서귀포시 안덕면 화순중앙로124번길 75(화순리 1888),33.24165 ,126.33366 
가족호텔업,코델리아리조트,제주특별자치도 서귀포시 성산읍 일주동로4120번길 23-20 (오조리 941-1),33.45908 ,126.91033 
가족호텔업,아름다운리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2644(시흥리 5)  ,33.47524 ,126.91016 
가족호텔업,엔파제주호텔,제주특별자치도 서귀포시 성산읍 서성일로 726-11(수산리 2576),33.42995 ,126.86199 
가족호텔업,봄그리고가을리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2660(시흥리 208),33.47409 ,126.91110 
가족호텔업,초이 호스텔 제주,제주특별자치도 서귀포시 태평로335번길 11-1(서귀동 316-14),33.24700 ,126.55858 
가족호텔업,파미유리조트 가족호텔,제주특별자치도 서귀포시 이어도로 826-6(강정동 643),33.23395 ,126.50253 
가족호텔업,호텔 섬오름,제주특별자치도 서귀포시 막숙포로 114(법환동 1513),33.23286 ,126.51057 
가족호텔업,㈜일레인,제주특별자치도 서귀포시 일주서로 660(회수동 659),33.25441 ,126.43909 
가족호텔업,봄그리고가을 가족호텔,제주특별자치도 서귀포시 성산읍 해맞이해안로 2652(시흥리 205),33.47907 ,126.88348 
가족호텔업,토스카나호텔,제주특별자치도 서귀포시 용흥로66번길158-7(강정동),33.26547 ,126.48428 
가족호텔업,성산아쿠아비치호텔,제주특별자치도 서귀포시 성산읍 일주동로 4258(고성리 1090-16),33.44458 ,126.90950 
가족호텔업,호텔아로하,제주특별자치도 서귀포시 성산읍 성산등용로 40(성산리 382-31),33.46650 ,126.93086 
가족호텔업,더포그레이스호텔앤리조트,제주특별자치도 서귀포시 성산읍 해맞이해안로 2670(시흥리 200),33.47362 ,126.91074 
가족호텔업,더클라우드 가족호텔,제주특별자치도 서귀포시 성산읍 한도로 269-37(성산리 308),33.46570 ,126.93605 
가족호텔업,브리즈베이호텔,제주특별자치도 서귀포시 성산읍 성산등용로 42(성산리 382-6),33.46653 ,126.93077 
가족호텔업,제이뷰호텔,제주특별자치도 서귀포시 중산간서로 935(색달동 1622-2),33.26525 ,126.41650 
가족호텔업,호텔 휴식 서귀포,제주특별자치도 서귀포시 중앙로 71번길 17(서귀동 308-2),33.25040 ,126.55957 
가족호텔업,코델리아S호텔,제주특별자치도 서귀포시 성산읍 일주동로 4186(오조리 990-1),33.45497 ,126.91041 
가족호텔업,썬라이즈호텔 섭지코지점,제주특별자치도 서귀포시 성산읍 신양로 83(고성리 510-6),33.43596 ,126.91626 
가족호텔업,제이앤비 가족호텔,제주특별자치도 서귀포시 토평남로30번길 10-8(토평동),33.26144 ,126.59313 
가족호텔업,글레즈하임호텔,제주특별자치도 서귀포시 이어도로 777(강정동),33.24047 ,126.49301 
소형호텔업,모슬포1호텔 ,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 11(하모리 2129-1),33.21781 ,126.25212 
소형호텔업,모슬포2호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 13(하모리 2129-2),33.21781 ,126.25212 
소형호텔업,모슬포3호텔,제주특별자치도 서귀포시 대정읍 최남단해안로30번길 15(하모리 2129-3),33.21781 ,126.25212 
소형호텔업,HOTEL 52,제주특별자치도 서귀포시 대정읍 신영로36번길 35(하모리 1089-23),33.21982 ,126.24716 
