업소명,업종명,소재지도로명주소,위도,경도
귤하우스,민박,제주특별자치도 서귀포시 남원읍 남한로 79-11,33.28497 ,126.71375 
글라라 민박,민박,제주특별자치도 서귀포시 남원읍 남한로140번길 77,33.28590 ,126.71770 
제주도 작은집,민박,제주특별자치도 서귀포시 남원읍 남한로153번길 42,33.28906 ,126.70927 
JEJU30,민박,제주특별자치도 서귀포시 남원읍 남한로21번길 57,33.28095 ,126.71140 
나무이야기,민박,제주특별자치도 서귀포시 남원읍 남한로21번길 9,33.28090 ,126.71647 
해뜨는 마을 e풀하우스,민박,제주특별자치도 서귀포시 남원읍 서성로 986-102,33.33109 ,126.70200 
에코,민박,제주특별자치도 서귀포시 남원읍 서성로 986-103,33.33062 ,126.70253 
제주명하우스,민박,제주특별자치도 서귀포시 남원읍 서성로 986-99,33.33110 ,126.70279 
바끄레 민박,민박,제주특별자치도 서귀포시 남원읍 서의로 55,33.29719 ,126.70977 
이좋은순간,민박,제주특별자치도 서귀포시 남원읍 서의로 60-3,33.29787 ,126.71046 
제주정원,민박,제주특별자치도 서귀포시 남원읍 서의로 91-2,33.30085 ,126.70963 
티파니에서 아침을,민박,제주특별자치도 서귀포시 남원읍 서의로154번길 12,33.30484 ,126.71247 
제주게토,민박,제주특별자치도 서귀포시 남원읍 서의로154번길 69,33.29950 ,126.71332 
게토,민박,제주특별자치도 서귀포시 남원읍 서의로154번길 73,33.29950 ,126.71332 
제주 하늘채,민박,제주특별자치도 서귀포시 남원읍 신례로 101-8,33.26820 ,126.64114 
현,민박,제주특별자치도 서귀포시 남원읍 신례로 307,33.29001 ,126.62799 
일로,민박,제주특별자치도 서귀포시 남원읍 신례로 309-7,33.28948 ,126.62680 
일로 스탠다드,민박,제주특별자치도 서귀포시 남원읍 신례로 309-7,33.28948 ,126.62680 
한라산풍경,민박,제주특별자치도 서귀포시 남원읍 신례로 386-1,33.29412 ,126.62315 
돌담,민박,제주특별자치도 서귀포시 남원읍 신례로204번길 124,33.27856 ,126.64530 
미니 쇠소깍,민박,제주특별자치도 서귀포시 남원읍 신례로369번길 60,33.28850 ,126.62396 
이지원,민박,제주특별자치도 서귀포시 남원읍 신례로379번길 25,33.29161 ,126.62226 
새왓댁 스테이,민박,제주특별자치도 서귀포시 남원읍 신례로379번길 31-8,33.29161 ,126.62296 
작가의 집,민박,제주특별자치도 서귀포시 남원읍 신례상로 12-4,33.29293 ,126.62787 
돌트멍,민박,제주특별자치도 서귀포시 남원읍 신례상로38번길 8,33.29298 ,126.63084 
노닐 SO,민박,제주특별자치도 서귀포시 남원읍 신흥고수로 25,33.30095 ,126.76386 
루다스테이,민박,제주특별자치도 서귀포시 남원읍 신흥로 74,33.30043 ,126.76818 
연꽃,민박,제주특별자치도 서귀포시 남원읍 신흥로 8,33.30179 ,126.76755 
늘하우스,민박,제주특별자치도 서귀포시 남원읍 신흥로13번길 22,33.30076 ,126.76610 
라봉게스트하우스,민박,제주특별자치도 서귀포시 남원읍 신흥로13번길 22,33.30076 ,126.76610 
느영나영,민박,제주특별자치도 서귀포시 남원읍 신흥로13번길 23,33.30075 ,126.76670 
더 테쉬폰,민박,제주특별자치도 서귀포시 남원읍 신흥로13번길 24,33.30058 ,126.76648 
이웃집365,민박,제주특별자치도 서귀포시 남원읍 신흥앞동산로 82,33.30871 ,126.76806 
아토하우스,민박,제주특별자치도 서귀포시 남원읍 신흥앞동산로 84,33.30878 ,126.76783 
창고사이,민박,제주특별자치도 서귀포시 남원읍 신흥앞동산로35번길 3,33.30704 ,126.76850 
걸어보지못한길,민박,제주특별자치도 서귀포시 남원읍 신흥앞동산로40번길 22-16,33.30542 ,126.77036 
사계절,민박,제주특별자치도 서귀포시 남원읍 신흥앞동산로40번길 30,33.30572 ,126.77210 
할망의 뜰,민박,제주특별자치도 서귀포시 남원읍 원님로 1-12,33.31329 ,126.71795 
이래민박,민박,제주특별자치도 서귀포시 남원읍 원님로 294-134,33.32246 ,126.74454 
보리하우스,민박,제주특별자치도 서귀포시 남원읍 위미대성로156번길 69,33.28336 ,126.67621 
하얀성,민박,제주특별자치도 서귀포시 남원읍 위미대화로 23-17,33.27227 ,126.65713 
내려놓음,민박,제주특별자치도 서귀포시 남원읍 위미대화로 24,33.27156 ,126.65525 
앨리스 in 제주비,민박,제주특별자치도 서귀포시 남원읍 위미대화로15번길 9-3,33.27330 ,126.65573 
제주비(JEJU vie),민박,제주특별자치도 서귀포시 남원읍 위미대화로15번길 9-5,33.27333 ,126.65603 
비니하우스,민박,제주특별자치도 서귀포시 남원읍 위미상원북로 19-9,33.27946 ,126.66324 
리치웨이,민박,제주특별자치도 서귀포시 남원읍 위미중앙로 196번길 6-12,33.27252 ,126.66217 
리와장,민박,제주특별자치도 서귀포시 남원읍 위미중앙로 274-39,33.27016 ,126.67305 
맨도롱 또돗,민박,제주특별자치도 서귀포시 남원읍 위미중앙로 274-43,33.27012 ,126.67359 
방울 풍뎅이,민박,제주특별자치도 서귀포시 남원읍 위미중앙로 274-45,33.27010 ,126.67388 
위미향,민박,제주특별자치도 서귀포시 남원읍 위미중앙로246번길 10,33.27180 ,126.66932 
더재벌,민박,제주특별자치도 서귀포시 남원읍 위미중앙로246번길 8,33.27170 ,126.66885 
제주온도,민박,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 24,33.27231 ,126.67598 
소이연가,민박,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 49,33.27308 ,126.67865 
한라앤탐,민박,제주특별자치도 서귀포시 남원읍 위미중앙로300번길 8,33.27298 ,126.67426 
이락펜션,민박,제주특별자치도 서귀포시 남원읍 위미항구로 111-1,33.28417 ,126.65470 
위미 모루왓,민박,제주특별자치도 서귀포시 남원읍 위미항구로 51,33.27889 ,126.65597 
힐링캠프,민박,제주특별자치도 서귀포시 남원읍 위미항구로 96,33.28283 ,126.65565 
바다에 누워,민박,제주특별자치도 서귀포시 남원읍 위미해안로 60,33.26959 ,126.65781 
be Lazy,민박,제주특별자치도 서귀포시 남원읍 위미해안로129번길 17,33.27049 ,126.65174 
stay,민박,제주특별자치도 서귀포시 남원읍 위미해안로129번길 31-4,33.26977 ,126.65067 
해바담,민박,제주특별자치도 서귀포시 남원읍 위미해안로90번길 20,33.27087 ,126.65510 
쉼표 솔하우스,민박,제주특별자치도 서귀포시 남원읍 의귀로25번길 16,33.30316 ,126.71637 
잣밭,민박,제주특별자치도 서귀포시 남원읍 의귀로25번길 20,33.30308 ,126.71604 
태흥올레민박,민박,제주특별자치도 서귀포시 남원읍 일주동로 6744,33.29341 ,126.75739 
하마다,민박,제주특별자치도 서귀포시 남원읍 일주동로 6863,33.28883 ,126.74605 
삼천리민박,민박,제주특별자치도 서귀포시 남원읍 일주동로 7154,33.28297 ,126.71592 
729민박,민박,제주특별자치도 서귀포시 남원읍 일주동로 7295-5,33.28065 ,126.70101 
너울랑,민박,제주특별자치도 서귀포시 남원읍 일주동로 7857,33.26855 ,126.64510 
동그라미민박,민박,제주특별자치도 서귀포시 남원읍 일주동로 7951-3,33.26397 ,126.63701 
흑곰이다,민박,제주특별자치도 서귀포시 남원읍 일주동로7774번길 72,33.27978 ,126.64665 
곰이다,민박,제주특별자치도 서귀포시 남원읍 일주동로7774번길 72,33.27978 ,126.64665 
해든빌레,민박,제주특별자치도 서귀포시 남원읍 자배오름로139번길 149,33.29198 ,126.66168 
MK하우스,민박,제주특별자치도 서귀포시 남원읍 중산간동로 6100-3,33.32833 ,126.71728 
담새풀,민박,제주특별자치도 서귀포시 남원읍 중산간동로 6166-13,33.32807 ,126.70993 
큐브하우스,민박,제주특별자치도 서귀포시 남원읍 중산간동로 6166-19,33.32844 ,126.70998 
순희민박,민박,제주특별자치도 서귀포시 남원읍 중산간동로 6168,33.32715 ,126.70978 
해밀,민박,제주특별자치도 서귀포시 남원읍 중산간동로 6388,33.31368 ,126.69434 
예촌민박,민박,제주특별자치도 서귀포시 남원읍 중산간동로 7126,33.28366 ,126.63120 
로뎀나무아래,민박,제주특별자치도 서귀포시 남원읍 태수로 350,33.31050 ,126.72237 
수망가라,민박,제주특별자치도 서귀포시 남원읍 태수로 667-11,33.33510 ,126.71193 
스테이어게인,민박,제주특별자치도 서귀포시 남원읍 태수로 70번길 17-4,33.29171 ,126.73980 
수망스테이,민박,제주특별자치도 서귀포시 남원읍 태수로 711,33.27951 ,126.71821 
제주쉬멍스파,민박,제주특별자치도 서귀포시 남원읍 태수로143번길 132-30,33.28976 ,126.72528 
제주영숙,민박,제주특별자치도 서귀포시 남원읍 태수로26번길 17,33.28712 ,126.74131 
아침의 새소리,민박,제주특별자치도 서귀포시 남원읍 태수로358번길 3-1,33.31106 ,126.72235 
달뜬제주,민박,제주특별자치도 서귀포시 남원읍 태수로70번길 17-2,33.29143 ,126.73980 
모든날이행복하기를,민박,제주특별자치도 서귀포시 남원읍 태신로 22,33.28830 ,126.74485 
낙원,민박,제주특별자치도 서귀포시 남원읍 태신로 7,33.28706 ,126.74470 
유어제주,민박,제주특별자치도 서귀포시 남원읍 태신삼석로91번길 6,33.30055 ,126.75264 
써니사이드비치,민박,제주특별자치도 서귀포시 남원읍 태신해안로 129,33.29216 ,126.76248 
룸엣155,민박,제주특별자치도 서귀포시 남원읍 태신해안로 245-8,33.30061 ,126.76783 
렌트하우스 맑음,민박,제주특별자치도 서귀포시 남원읍 태신해안로 253,33.30059 ,126.76878 
더빌라스오션,민박,제주특별자치도 서귀포시 남원읍 태신해안로 271,33.30097 ,126.77059 
수심1미터,민박,제주특별자치도 서귀포시 남원읍 태위로 115번길 3,33.27520 ,126.65981 
위미스테이,민박,제주특별자치도 서귀포시 남원읍 태위로 116-1,33.27448 ,126.65976 
제주소요,민박,제주특별자치도 서귀포시 남원읍 태위로 13,33.27228 ,126.64938 
제주 대전 아줌마 민박,민박,제주특별자치도 서귀포시 남원읍 태위로 139번길 20,33.27643 ,126.66217 
호야네 민박,민박,제주특별자치도 서귀포시 남원읍 태위로 383,33.27532 ,126.68829 
놈 게스트하우스,민박,제주특별자치도 서귀포시 남원읍 태위로 463-25,33.27618 ,126.69655 
홈인제주,민박,제주특별자치도 서귀포시 남원읍 태위로 477,33.27521 ,126.69817 
나그네의쉼터어시장,민박,제주특별자치도 서귀포시 남원읍 태위로 48,33.27295 ,126.65302 
두리안,민박,제주특별자치도 서귀포시 남원읍 태위로 551-3,33.27592 ,126.70577 
유플러스 씨,민박,제주특별자치도 서귀포시 남원읍 태위로 590,33.27618 ,126.70984 
바다랑 파도랑,민박,제주특별자치도 서귀포시 남원읍 태위로 594-10,33.27564 ,126.71042 
바다랑 파도랑Ⅱ,민박,제주특별자치도 서귀포시 남원읍 태위로 594-10,33.27564 ,126.71042 
멜리아,민박,제주특별자치도 서귀포시 남원읍 태위로 594-4,33.27631 ,126.71031 
바다 위 언덕,민박,제주특별자치도 서귀포시 남원읍 태위로 594-6,33.27611 ,126.71039 
바다로 향한 문,민박,제주특별자치도 서귀포시 남원읍 태위로 604,33.27677 ,126.71142 
체리 하우스,민박,제주특별자치도 서귀포시 남원읍 태위로 604-13,33.27623 ,126.71237 
제니빌,민박,제주특별자치도 서귀포시 남원읍 태위로 604-15,33.27646 ,126.71249 
팔도민박,민박,제주특별자치도 서귀포시 남원읍 태위로 604-5,33.27669 ,126.71182 
제주서귀포썬시티파티게스트하우스,민박,제주특별자치도 서귀포시 남원읍 태위로 940번길 12-50,33.28304 ,126.74712 
서울,민박,제주특별자치도 서귀포시 남원읍 태위로 970,33.28773 ,126.74833 
파인비치,민박,제주특별자치도 서귀포시 남원읍 태위로 976-10,33.28756 ,126.74899 
제주파인비치펜션,민박,제주특별자치도 서귀포시 남원읍 태위로 976-10,33.28756 ,126.74899 
바다별,민박,제주특별자치도 서귀포시 남원읍 태위로 977번길 14,33.28870 ,126.74746 
위미사랑하우스,민박,제주특별자치도 서귀포시 남원읍 태위로139번길 19,33.27673 ,126.66157 
콴도제주,민박,제주특별자치도 서귀포시 남원읍 태위로151번길 14-12,33.27640 ,126.66513 
스테이 마중,민박,제주특별자치도 서귀포시 남원읍 태위로151번길 20-21,33.27724 ,126.66560 
위미하우스,민박,제주특별자치도 서귀포시 남원읍 태위로152번길 4-1,33.27480 ,126.66327 
정스 스토리,민박,제주특별자치도 서귀포시 남원읍 태위로19번길 6,33.27266 ,126.64993 
스테이 르브아,민박,제주특별자치도 서귀포시 남원읍 태위로266번길 15,33.27405 ,126.67647 
momo house,민박,제주특별자치도 서귀포시 남원읍 태위로266번길 9,33.27463 ,126.67645 
넙빌레하우스,민박,제주특별자치도 서귀포시 남원읍 태위로2번길 28,33.26938 ,126.64868 
달파란,민박,제주특별자치도 서귀포시 남원읍 태위로360번길 201,33.27032 ,126.67363 
스테이 이공,민박,제주특별자치도 서귀포시 남원읍 태위로398번길 15-18,33.27279 ,126.69118 
위미궁,민박,제주특별자치도 서귀포시 남원읍 태위로398번길 26,33.27281 ,126.68924 
솔바람 파도소리,민박,제주특별자치도 서귀포시 남원읍 태위로398번길 45,33.27132 ,126.69049 
오로제주(OROJEJU),민박,제주특별자치도 서귀포시 남원읍 태위로398번길 52-5,33.27053 ,126.68977 
루앙프라방,민박,제주특별자치도 서귀포시 남원읍 태위로398번길 7,33.27434 ,126.68986 
미소-가,민박,제주특별자치도 서귀포시 남원읍 태위로44번길 2-1,33.27247 ,126.65206 
미소,민박,제주특별자치도 서귀포시 남원읍 태위로44번길 2-1,33.27249 ,126.65206 
뜨리바다,민박,제주특별자치도 서귀포시 남원읍 태위로510번길 31-16,33.27153 ,126.69972 
woody,민박,제주특별자치도 서귀포시 남원읍 태위로510번길 49,33.27262 ,126.69857 
제주 트윈즈,민박,제주특별자치도 서귀포시 남원읍 태위로510번길 71-4,33.27188 ,126.69766 
