,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-남자,2.3,2.7,19.0,42.7,33.4
내-여자,2.0,2.1,15.4,42.7,37.8
외-남자,3.1,1.4,13.2,43.2,39.1
외-여자,2.8,1.5,13.4,44.4,37.9
