,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-15~20세,1.5,1.0,15.5,38.9,43.1
내-21~30세,1.1,1.7,14.4,44.8,38.1
내-31~40세,1.7,1.5,15.9,49.6,31.3
내-41~50세,3.1,1.8,17.9,43.4,33.7
내-51~60세,5.1,2.7,25.3,38.7,28.1
내-61세 이상,3.3,4.2,21.7,48.6,22.2
외-15~20세,1.7,0.2,6.0,43.3,48.8
외-21~30세,4.0,1.6,12.1,45.9,36.5
외-31~40세,1.7,1.4,13.7,51.7,31.6
외-41~50세,3.1,1.4,9.8,50.5,35.1
외-51~60세,3.0,4.4,16.7,45.0,30.9
외-61세 이상,1.6,0.0,9.4,51.9,37.0
