,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-15~20세,0.6,1.6,17.3,34.7,45.8
내-21~30세,1.3,2.0,15.1,41.7,40.0
내-31~40세,1.6,2.0,16.1,46.7,33.5
내-41~50세,3.5,2.9,18.0,43.5,32.1
내-51~60세,5.2,3.6,24.3,38.3,28.7
내-61세 이상,2.5,4.5,21.8,48.3,22.9
외-15~20세,1.0,1.1,13.1,36.7,48.2
외-21~30세,3.7,0.9,12.4,43.3,39.7
외-31~40세,2.0,1.3,14.4,47.5,34.8
외-41~50세,2.9,2.3,15.3,40.5,39.1
외-51~60세,5.4,7.2,12.6,39.5,35.1
외-61세 이상,1.6,0.0,7.7,50.9,39.8
