,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-15~20세,1.2,2.0,19.4,36.3,41.0
내-21~30세,1.1,2.1,17.5,43.5,35.7
내-31~40세,1.7,2.9,19.8,46.7,28.9
내-41~50세,3.0,2.8,20.2,42.5,31.4
내-51~60세,4.4,4.3,28.8,36.5,26.0
내-61세 이상,3.7,3.5,23.4,47.1,22.3
외-15~20세,1.2,2.1,11.4,44.7,40.5
외-21~30세,4.2,1.5,12.2,45.8,36.4
외-31~40세,1.5,1.7,13.5,50.8,32.4
외-41~50세,3.1,1.7,12.6,44.7,38.0
외-51~60세,2.2,5.1,17.4,47.4,27.9
외-61세 이상,1.6,0.0,13.3,50.9,34.2
