,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
한국,2.1,1.8,16.8,44.9,34.4
일본권,1.5,1.5,17.5,43.4,36.0
중국권,3.8,1.3,12.6,48.2,34.1
비중국중화권,1.0,3.0,15.2,57.1,23.6
동남아권,2.2,1.4,10.0,48.8,37.6
북미권,3.9,1.1,7.3,35.7,51.9
기타,1.7,2.0,10.0,46.7,39.6
