,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-개별여행,2.0,2.6,19.7,43.2,32.6
내-완전패키지여행,2.7,4.4,25.8,42.2,24.8
내-부분패키지여행,1.9,2.8,19.1,40.6,35.6
외-개별여행,3.1,2.0,12.5,45.8,36.6
외-완전패키지여행,2.1,0.8,14.6,52.4,30.1
외-부분패키지여행,5.7,0.0,5.9,52.0,36.4
