,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-개별여행,2.1,2.3,16.8,42.6,36.1
내-완전패키지여행,2.7,4.0,20.8,46.2,26.4
내-부분패키지여행,0.9,1.0,20.4,36.8,40.9
외-개별여행,3.1,1.6,12.0,42.8,40.4
외-완전패키지여행,2.1,0.7,17.3,48.1,31.8
외-부분패키지여행,5.7,2.3,17.1,38.0,36.8
