,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
한국,2.0,2.7,20.0,43.1,32.2
일본권,1.2,1.4,21.6,38.3,37.6
중국권,3.8,1.4,12.4,47.7,34.7
비중국중화권,1.3,4.0,14.9,53.7,26.0
동남아권,3.1,1.1,12.6,47.3,36.9
북미권,2.2,3.4,7.1,38.2,49.1
기타,2.0,2.0,12.0,47.6,36.3
