,전혀그렇지않다,그렇지않다,보통이다,그렇다,매우그렇다
내-남자,2.3,2.1,18.7,44.7,32.2
내-여자,2.0,1.6,15.0,45.0,36.5
외-남자,3.2,1.2,12.9,48.3,34.5
외-여자,2.8,1.8,11.6,48.1,35.8
