,자연경관감상,식도락(맛집여행),산/오름/올레길 트레킹,쇼핑,박물관/테마공원 방문,회의/업무/컨벤션/세미나,공연/축제/이벤트 참여,해변활동(해수욕 등),유흥/오락/경마,전통문화체험,종교/순례활동,영화/드라마촬영지 방문,역사/문화유적지 방문,"레포츠(승마, 골프, ATV 등)",미용(온천/스파/마사지),기타
한국,32.3,13.1,12.9,0.7,14.3,1.7,1.8,13.4,0.2,0.5,0.3,1.2,1.3,4.9,0.8,0.7
외국,54.1,15.9,3.8,14.1,2.8,0.9,0.3,3.9,0.7,0.8,0.3,0.1,0.8,0.4,0.4,0.5
