연번,구분,상세,2015년01월,2015년02월,2015년03월,2015년04월,2015년05월,2015년06월,2015년07월,2015년08월,2015년09월,2015년10월,2015년11월,2015년12월
1,아시아,일본,3749,3855,5651,7663,14641,3760,1650,7037,4685,3109,1662,1771
2,아시아,중국,117179,198196,172100,261695,256818,155953,65977,191959,233383,268591,174677,140835
3,아시아,홍콩,554,906,3186,3686,2188,1419,329,925,4530,2154,1598,1257
4,아시아,대만,1061,1231,831,3609,1804,1096,169,348,1784,2088,2022,1796
5,아시아,싱가폴,1211,921,2231,4032,2507,1332,428,598,1533,3144,3610,8073
6,아시아,말레이시아,1383,1380,4626,6300,2890,1722,419,674,1856,4490,5056,9096
7,아시아,인도네시아,1799,908,2842,3392,2483,1515,1752,504,880,1324,1224,4084
8,아시아,베트남,593,952,4437,7846,2602,1412,651,832,1007,2724,2854,896
9,아시아,태국,5683,5063,5834,5489,5720,2629,32,16,43,4594,4789,5319
10,아시아,기타,767,553,2595,6214,2698,2339,2236,2475,2592,2940,3262,2074
11,서구 등,미국,315,400,857,2907,2497,1736,1235,1252,1866,1807,1057,969
12,서구 등,기타,1382,1651,3319,7878,7602,6100,7810,7153,7314,9748,8694,6563
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
