연번,구분,상세,2016년01월,2016년02월,2016년03월,2016년04월,2016년05월,2016년06월,2016년07월,2016년08월,2016년09월,2016년10월,2016년11월,2016년12월
1,형태별,개별여행,778483,801774,741519,803915,838538,920785,953212,952775,830191,884835,818873,828204
2,형태별,부분패키지,73110,72988,93703,123369,98030,90269,158111,133319,142755,115386,98010,82199
3,형태별,패키지,32873,4946,85360,139226,159007,54187,32255,30355,55018,110055,73339,38985
4,목적별,레저스포츠,133046,128470,148991,155853,186134,123254,109282,115154,62085,134321,202203,80724
5,목적별,회의및업무,82858,72990,84988,87015,89848,58238,107397,49269,65527,150503,141857,82200
6,목적별,휴양및관람,604407,619239,621087,744891,722003,838651,894984,933247,758247,692378,582907,727366
7,목적별,친지방문,58489,49444,37045,26783,28394,20383,23866,11593,109992,47659,30951,44836
8,목적별,교육여행,1191,238,22165,47344,66431,13420,2422,4272,17574,57379,8858,1621
9,목적별,기타방문,4475,9327,6306,4624,2765,11295,5627,2914,14839,28036,23446,12641
