연번,구분,상세,2013년01월,2013년02월,2013년03월,2013년04월,2013년05월,2013년06월,2013년07월,2013년08월,2013년09월,2013년10월,2013년11월,2013년12월
1,아시아,일본,6941,5702,11568,11720,22520,10271,9847,11292,12111,13559,7608,5740
2,아시아,중국,51606,77252,73007,141793,115104,183838,307406,350458,222443,141087,81010,67168
3,아시아,홍콩,681,2502,3589,4688,3062,5077,4304,3188,3824,4477,2723,1646
4,아시아,대만,2106,2700,2898,2798,5089,5958,3387,4056,2964,3480,2097,1357
5,아시아,싱가폴,1857,2624,3932,6470,4646,6589,2111,2123,3599,7037,5019,10615
6,아시아,말레이시아,1829,5271,6049,12885,7371,3539,1247,2335,4549,7858,9138,12885
7,아시아,인도네시아,1042,895,2006,2822,1605,1935,893,3736,546,1232,1691,4302
8,아시아,베트남,422,1551,1163,2469,1023,1678,2186,1910,11097,2197,1567,899
9,아시아,기타,1717,2677,3442,5633,4867,5864,6457,7212,4843,7847,4670,5400
10,서구 등,미국,433,465,979,2405,2501,3639,2509,1865,1761,4002,542,338
11,서구 등,기타,1845,2221,2575,6271,6560,7179,8421,6328,7013,6822,2676,1722
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
