연번,구분,상세,2015년01월,2015년02월,2015년03월,2015년04월,2015년05월,2015년06월,2015년07월,2015년08월,2015년09월,2015년10월,2015년11월,2015년12월
1,형태별,개별여행,624526,595357,635832,600794,760163,610193,799435,919417,746589,704976,673215,753937
2,형태별,부분패키지,96124,103768,110797,221013,134508,114121,157366,159458,137996,211393,191685,111982
3,형태별,패키지,72018,22462,45085,117518,120668,32073,38571,36248,78567,179883,87623,34804
4,목적별,레저스포츠,127063,134718,143528,146259,179944,76661,90603,117021,58072,141554,208080,62884
5,목적별,회의및업무,75791,72552,78294,83467,87166,50916,100920,52321,61332,168641,187279,108871
6,목적별,휴양및관람,521304,459032,490004,623087,628479,581219,764619,914476,372526,662736,484726,656346
7,목적별,친지방문,55457,43058,44581,27927,29779,17557,22237,17440,120474,45129,24236,43549
8,목적별,교육여행,3621,202,20466,44893,71746,16271,2648,3859,25997,46873,17119,3700
9,목적별,기타방문,9432,12025,14841,13662,18225,13763,14345,10006,24751,31319,31083,25373
