지명,검색점수
가시아방국수,513
고집돌우럭제주공항점,40
고집돌우럭중문점,3
곽지해수욕장,796
국립제주박물관,4
국수바다본점,364
금능해수욕장,515
금호리조트제주,13
김녕해수욕장,353
네거리식당,134
넥슨컴퓨터박물관,7
다이나믹메이즈성읍점,14
더클리프,58
델문도,208
돌카롱사려니숲길점,179
동문수산시장,24
동문재래시장,1211
렛츠런파크제주,89
롯데마트제주점,58
롯데호텔제주점,448
마노르블랑,46
만장굴,674
맛나식당,154
메종글래드제주호텔,263
몽상드애월,94
무지개렌트카,3
바다다,395
박물관은살아있다중문점,40
브릭캠퍼스,6
비자림,535
빛의벙커,583
사려니숲,732
산방산탄산온천,346
새별오름,42
서귀포매일올레시장,930
섭지코지,698
성산일출봉,793
성산포종합여객터미널,53
성산항,353
세화해수욕장,46
소노벨제주,36
쇠소깍,800
수목원길야시장,2
수목원테마파크,11
신라호텔,427
아쿠아플라넷제주,780
엉또폭포,110
에코랜드,569
오는정김밥,277
오라CC,1
오설록티뮤지엄,897
용눈이오름,10
용두암,532
용머리해안,4
우도도항선선착장,510
운정이네본점,334
원앙폭포,34
이마트서귀포점,822
이마트신제주점,615
이마트제주점,342
이호테우해변,586
자매국수노형점,248
제주관광공사면세점,127
제주국제공항,930
제주국제컨벤션센터,47
제주김만복동문시장점,10
제주김만복본점,1429
제주김만복애월점,5
제주대학교병원,137
제주부영호텔리조트,96
제주시청,140
제주신화월드랜딩리조트관,4
제주신화월드메리어트리조트관,7
제주오성식당,4
제주월드컵경기장,1
제주절물자연휴양림,66
제주항공우주박물관,504
제주항국제여객선터미널,10
제주항연안여객터미널,124
주상절리대,429
천지연폭포,743
춘심이네본점,61
카멜리아힐,81
퍼시픽랜드,129
표선해수욕장,291
피규어뮤지엄제주,17
하이엔드제주,319
한화리조트제주,656
함덕해수욕장,859
해비치호텔,665
헬로키티아일랜드,6
협재해변,899
홈플러스서귀포점,4
황우지해안,39
휘닉스제주,227
