지명,검색점수,,,,,,,,
이마트서귀포점,739,,,,,,,,
이마트서귀포점,707,,,,,,,,
이마트신제주점,578,,,,,,,,
이마트신제주점,666,,,,,,,,
이마트신제주점,615,,,,,,,,
이마트신제주점,623,,,,,,,,
이호테우해변,586,,,,,,,,
제주김만복본점,1394,,,,,,,,
제주김만복본점,1369,,,,,,,,
제주김만복본점,1586,,,,,,,,
제주김만복본점,1489,,,,,,,,
제주김만복본점,1444,,,,,,,,
제주김만복본점,1500,,,,,,,,
제주김만복본점,1413,,,,,,,,
제주김만복본점,1429,,,,,,,,
제주김만복본점,1367,,,,,,,,
제주김만복본점,1394,,,,,,,,
주상절리대,564,,,,,,,,
주상절리대,559,,,,,,,,
천지연폭포,701,,,,,,,,
천지연폭포,610,,,,,,,,
천지연폭포,736,,,,,,,,
천지연폭포,720,,,,,,,,
천지연폭포,707,,,,,,,,
천지연폭포,675,,,,,,,,
천지연폭포,704,,,,,,,,
천지연폭포,743,,,,,,,,
천지연폭포,641,,,,,,,,
천지연폭포,701,,,,,,,,
카멜리아힐,685,,,,,,,,
카멜리아힐,586,,,,,,,,
카멜리아힐,615,,,,,,,,
카멜리아힐,711,,,,,,,,
카멜리아힐,732,,,,,,,,
한화리조트제주,717,,,,,,,,
한화리조트제주,619,,,,,,,,
한화리조트제주,759,,,,,,,,
한화리조트제주,767,,,,,,,,
한화리조트제주,687,,,,,,,,
한화리조트제주,662,,,,,,,,
한화리조트제주,656,,,,,,,,
한화리조트제주,717,,,,,,,,
함덕해수욕장,794,,,,,,,,
함덕해수욕장,669,,,,,,,,
함덕해수욕장,812,,,,,,,,
함덕해수욕장,812,,,,,,,,
함덕해수욕장,848,,,,,,,,
함덕해수욕장,819,,,,,,,,
함덕해수욕장,857,,,,,,,,
함덕해수욕장,859,,,,,,,,
함덕해수욕장,796,,,,,,,,
함덕해수욕장,794,,,,,,,,
해비치호텔,704,,,,,,,,
해비치호텔,643,,,,,,,,
해비치호텔,693,,,,,,,,
해비치호텔,665,,,,,,,,
해비치호텔,711,,,,,,,,
해비치호텔,704,,,,,,,,
협재해변,883,,,,,,,,
협재해변,812,,,,,,,,
협재해변,897,,,,,,,,
협재해변,870,,,,,,,,
협재해변,895,,,,,,,,
협재해변,866,,,,,,,,
협재해변,897,,,,,,,,
협재해변,899,,,,,,,,
협재해변,862,,,,,,,,
협재해변,883,,,,,,,,
휴애리자연생활공원,614,,,,,,,,
휴애리자연생활공원,645,,,,,,,,
