지명,검색점수
가시아방국수,563
고집돌우럭제주공항점,19
고집돌우럭중문점,7
곽지해수욕장,264
국수바다본점,66
궷물오름,8
금호리조트제주,21
김녕해수욕장,3
네거리식당,62
녹산로유채꽃도로,39
더클리프,5
델문도,342
돌카롱사려니숲길점,37
동문공설시장,739
동문수산시장,494
동문재래시장,1323
라마다앙코르서귀포호텔,3
라마다앙코르이스트서귀포호텔,15
렛츠런파크제주,9
롯데마트제주점,149
롯데호텔제주점,405
만장굴,41
맛나식당,97
메종글래드제주호텔,111
몽상드애월,194
바다다,484
박물관은살아있다중문점,3
봄날카페,25
비자림,583
빛의벙커,501
사계생활,7
사려니숲,671
산방산,711
산방산탄산온천,520
상효원수목원,3
새별오름,306
새빌,11
서귀포매일올레시장,930
섭지코지,825
성산일출봉,878
성산포종합여객터미널,1
성산항,408
소노벨제주,201
송악산,1
쇠소깍,753
신라스테이제주,4
신라호텔,551
신양섭지코지해변,195
쌍둥이횟집본점,2
아쿠아플라넷제주,595
엉또폭포,13
에코랜드,537
오는정김밥,161
오설록티뮤지엄,887
용눈이오름,12
용두암,691
용머리해안,332
우도도항선선착장,226
운정이네본점,108
이마트서귀포점,717
이마트신제주점,563
이마트제주점,67
이호테우해변,418
자매국수노형점,283
전농로왕벚꽃길,21
제주관광공사면세점,181
제주국제공항,930
제주국제컨벤션센터,203
제주김만복동문시장점,141
제주김만복본점,1586
제주대학교,42
제주대학교병원,316
제주들불축제,71
제주민속촌,7
제주부영호텔리조트,9
제주시청,376
제주실내수영장,1
제주여미지식물원,16
제주오성식당,13
제주왕벚꽃축제장전리,75
제주월드컵경기장,5
제주유채꽃축제,36
제주항공우주박물관,2
제주항연안여객터미널,11
조랑말체험공원,12
주상절리대,564
천제연폭포,1
천지연폭포,736
춘심이네본점,69
카멜리아힐,586
퍼시픽랜드,24
하이엔드제주,314
한라산둘레길사려니숲길,4
한림공원,173
한화리조트제주,540
함덕해수욕장,812
해비치리조트,180
해비치호텔,367
협재해변,897
휘닉스제주,28
휴애리매화축제,3
휴애리자연생활공원,278
