지명,검색점수
가시아방국수,354
고집돌우럭제주공항점,37
곽지해수욕장,515
국수바다본점,247
금능해수욕장,25
금호리조트제주,48
김녕해수욕장,39
네거리식당,35
더쇼어호텔제주,5
더클리프,57
델문도,322
돌카롱사려니숲길점,158
동문공설시장,543
동문수산시장,477
동문재래시장,1025
렛츠런파크제주,83
롯데마트제주점,156
롯데호텔제주점,507
만장굴,192
맛나식당,28
메종글래드제주호텔,127
몽상드애월,239
무지개렌트카,2
바다다,627
박물관은살아있다중문점,45
백약이오름,24
비자림,680
빛의벙커,318
사려니숲,625
산방산탄산온천,245
새별오름,92
서귀포매일올레시장,930
섭지코지,779
성산일출봉,857
성산포종합여객터미널,3
성산항,328
소노벨제주,207
쇠소깍,779
신라스테이제주,2
신라호텔,549
아쿠아플라넷제주,632
약천사,21
엉또폭포,86
에코랜드,753
오는정김밥,100
오라동메밀밭,10
오설록티뮤지엄,898
용눈이오름,8
용두암,666
용머리해안,291
우도도항선선착장,263
운정이네본점,38
이마트서귀포점,714
이마트신제주점,557
이마트제주점,120
이호테우해변,499
자매국수노형점,204
제주관광공사면세점,82
제주국제공항,930
제주국제컨벤션센터,285
제주김만복동문시장점,70
제주김만복본점,1444
제주대학교,9
제주대학교병원,332
제주부영호텔리조트,133
제주시청,318
제주신화월드랜딩리조트관,14
제주여미지식물원,21
제주오성식당,35
제주절물자연휴양림,16
제주항공우주박물관,35
제주항연안여객터미널,7
주상절리대,500
천제연폭포,2
천지연폭포,707
춘심이네본점,70
카멜리아힐,711
퍼시픽랜드,67
표선해수욕장,6
피규어뮤지엄제주,5
하이엔드제주,377
한담해안산책로,6
한라산둘레길사려니숲길,8
한라체육관,5
한림공원,20
한화리조트제주,767
함덕해수욕장,848
해비치리조트,272
해비치호텔,525
헬로키티아일랜드,16
협재해변,895
휘닉스제주,118
휴애리수국축제,350
휴애리자연생활공원,645
히든클리프호텔네이쳐,8
