지명,검색점수
가시아방국수,396
고집돌우럭제주공항점,27
고집돌우럭중문점,4
곽지해수욕장,613
국수바다본점,201
금능해수욕장,203
금호리조트제주,54
김녕해수욕장,159
네거리식당,60
더클리프,86
델문도,351
돌카롱사려니숲길점,131
동문공설시장,274
동문수산시장,616
동문재래시장,866
렛츠런파크제주,55
롯데마트제주점,95
롯데스카이힐제주컨트리클럽,1
롯데호텔제주점,482
마노르블랑,116
만장굴,299
맛나식당,20
메종글래드제주호텔,234
몽상드애월,131
무지개렌트카,3
바다다,516
박물관은살아있다중문점,41
백약이오름,1
브릭캠퍼스,3
비자림,625
빛의벙커,350
사려니숲,597
산방산탄산온천,259
새별오름,28
서귀포매일올레시장,900
섭지코지,692
성산일출봉,800
성산포종합여객터미널,10
성산항,274
소노벨제주,204
쇠소깍,771
신라호텔,486
아쿠아플라넷제주,622
애월더선셋,1
엉또폭포,94
에코랜드,683
오는정김밥,117
오설록티뮤지엄,866
용두암,593
용머리해안,86
우도도항선선착장,301
운정이네본점,29
이마트서귀포점,709
이마트신제주점,545
이마트제주점,226
이호테우해변,433
자매국수노형점,227
제주관광공사면세점,66
제주국제공항,900
제주국제컨벤션센터,325
제주김만복동문시장점,58
제주김만복본점,1500
제주대학교병원,261
제주부영호텔리조트,139
제주시청,193
제주오성식당,50
제주월드컵경기장,1
제주절물자연휴양림,13
제주항공우주박물관,104
제주항연안여객터미널,10
주상절리대,424
천지연폭포,675
춘심이네본점,61
카멜리아힐,732
퍼시픽랜드,98
표선해수욕장,23
피규어뮤지엄제주,2
하이엔드제주,370
한담해안산책로,1
한림공원,1
한화리조트제주,687
함덕해수욕장,819
항몽유적지,49
해비치리조트,132
해비치호텔,643
헬로키티아일랜드,19
협재해변,866
휘닉스제주,177
휴애리수국축제,360
휴애리자연생활공원,566
히든클리프호텔네이쳐,9
